iter	Passed	Remaining
758	2105	668
759	2108	665
760	2110	662
761	2113	660
762	2115	657
763	2118	654
764	2121	651
765	2123	648
766	2126	645
767	2128	643
768	2131	640
769	2134	637
770	2137	634
771	2139	631
772	2142	629
773	2145	626
774	2148	623
775	2150	620
776	2153	618
777	2156	615
778	2159	612
779	2161	609
780	2163	606
781	2166	603
782	2168	601
783	2171	598
784	2174	595
785	2177	592
786	2179	589
787	2182	587
788	2184	584
789	2187	581
790	2189	578
791	2192	575
792	2194	572
793	2197	570
794	2200	567
795	2202	564
796	2205	561
797	2207	558
798	2210	556
799	2212	553
800	2215	550
801	2218	547
802	2220	544
803	2223	541
804	2225	539
805	2228	536
806	2230	533
807	2233	530
808	2235	527
809	2238	525
810	2240	522
811	2243	519
812	2245	516
813	2248	513
814	2250	510
815	2253	508
816	2256	505
817	2259	502
818	2261	499
819	2264	497
820	2266	494
821	2269	491
822	2271	488
823	2274	485
824	2276	482
825	2279	480
826	2281	477
827	2284	474
828	2286	471
829	2289	468
830	2291	466
831	2294	463
832	2297	460
833	2299	457
834	2302	454
835	2304	452
836	2306	449
837	2309	446
838	2312	443
839	2315	440
840	2317	438
841	2320	435
842	2322	432
843	2325	429
844	2327	427
845	2330	424
846	2332	421
847	2335	418
848	2337	415
849	2340	413
850	2342	410
851	2345	407
852	2348	404
853	2350	401
854	2353	399
855	2355	396
856	2358	393
857	2360	390
858	2363	387
859	2365	385
860	2368	382
861	2370	379
862	2373	376
863	2375	373
864	2378	371
865	2380	368
866	2383	365
867	2386	362
868	2388	360
869	2391	357
870	2393	354
871	2396	351
872	2398	348
873	2401	346
874	2403	343
875	2406	340
876	2408	337
877	2410	335
878	2413	332
879	2416	329
880	2418	326
881	2420	323
882	2423	321
883	2425	318
884	2428	315
885	2430	312
886	2433	309
887	2435	307
888	2438	304
889	2441	301
890	2443	298
891	2446	296
892	2448	293
893	2450	290
894	2453	287
895	2455	285
896	2458	282
897	2460	279
898	2463	276
899	2466	274
900	2468	271
901	2471	268
902	2473	265
903	2476	262
904	2479	260
905	2481	257
906	2484	254
907	2486	251
908	2489	249
909	2491	246
910	2494	243
911	2496	240
912	2499	238
913	2501	235
914	2504	232
915	2506	229
916	2509	227
917	2511	224
918	2515	221
919	2518	218
920	2520	216
921	2524	213
922	2527	210
923	2529	208
924	2532	205
925	2535	202
926	2538	199
927	2541	197
928	2544	194
929	2547	191
930	2550	189
931	2553	186
932	2556	183
933	2559	180
934	2562	178
935	2565	175
936	2568	172
937	2571	169
938	2574	167
939	2577	164
940	2579	161
941	2583	159
942	2586	156
943	2589	153
944	2592	150
945	2595	148
946	2597	145
947	2601	142
948	2604	139
949	2607	137
950	2610	134
951	2613	131
952	2616	129
953	2619	126
954	2622	123
955	2625	120
956	2628	118
957	2631	115
958	2633	112
959	2636	109
960	2639	107
961	2642	104
962	2645	101
963	2648	98
964	2651	96
965	2653	93
966	2656	90
967	2659	87
968	2662	85
969	2666	82
970	2669	79
971	2672	76
972	2675	74
973	2678	71
974	2681	68
975	2684	66
976	2687	63
977	2690	60
978	2693	57
979	2696	55
980	2699	52
981	2702	49
982	2705	46
983	2708	44
984	2711	41
985	2713	38
986	2717	35
987	2720	33
988	2723	30
989	2726	27
990	2729	24
991	2732	22
992	2734	19
993	2737	16
994	2740	13
995	2743	11
996	2746	8
997	2748	5
998	2751	2
999	2754	0
